id_str,tweet,paragraph,label,language
1300173590554464256,This mayer is a complete vile idiot.,"A notable chunk of the interview was dedicated to Jessica Simpson. The couple was first linked in 2006 and dated on and off for years, but split for good when he referred to her as ""sexual napalm.""",0,en
1300173590554464256,この市長は完全に卑劣な愚か者です。,インタビューの注目すべき部分はジェシカ・シンプソンに捧げられました。二人は2006年に初めて交際し、何年にもわたって断続的にデートを繰り返したが、彼が彼女を「性的なナパーム弾」と呼んだことで永久に別れた。,0,ja
1300173590554464256,Este mayer es un completo idiota vil.,"Una parte importante de la entrevista estuvo dedicada a Jessica Simpson. La pareja se vinculó por primera vez en 2006 y salieron intermitentemente durante años, pero se separaron definitivamente cuando él se refirió a ella como ""napalm sexual"".",0,es
1300173590554464256,This mayer is a complete vile idiot.,"""That girl, for me, is a drug. And drugs aren't good for you if you do lots of them. Yeah, that girl is like crack cocaine to me,"" Mayer told Playboy. ""Sexually it was crazy. That's all I'll say. It was like napalm, sexual napalm.""",0,en
1300173590554464256,この市長は完全に卑劣な愚か者です。,「あの女の子は、私にとっては麻薬だ。そして、たくさんやると麻薬は体によくない。そう、あの女の子は私にとってクラックコカインのようなものだ」とメイヤーさんはプレイボーイに語った。 「性的にはクレイジーだった。私が言えるのはそれだけだ。まるでナパーム弾、性的なナパーム弾のようだった。」,0,ja
1300173590554464256,Este mayer es un completo idiota vil.,"""Esa chica, para mí, es una droga. Y las drogas no son buenas para ti si consumes muchas. Sí, esa chica es como crack para mí"", dijo Mayer a Playboy. ""Sexualmente fue una locura. Eso es todo lo que diré. Fue como napalm, napalm sexual"".",0,es
1300173590554464256,This mayer is a complete vile idiot.,"He added: ""Have you ever been with a girl who made you want to quit the rest of your life? Did you ever say, 'I want to quit my life and just f---ing snort you? If you charged me $10,000 to f--- you, I would start selling all my s--- just to keep f---ing you.'""",0,en
1300173590554464256,この市長は完全に卑劣な愚か者です。,さらに、「あなたは、残りの人生を辞めたいと思わせるような女性と一緒にいたことがありますか？『人生を辞めて、ただあなたを鼻で鳴らしたいだけです』と言ったことがありますか？もしあなたが私に1万ドルを請求したとしたら、」と付け加えた。あなたに、私はあなたを好きでい続けるためだけに、私のすべてを売り払い始めます。」,0,ja
1300173590554464256,Este mayer es un completo idiota vil.,"Añadió: ""¿Alguna vez has estado con una chica que te hizo querer dejarla por el resto de tu vida? ¿Alguna vez dijiste: 'Quiero dejar mi vida y simplemente resoplarte? Si me cobraras $10,000 Para joderte, comenzaría a vender toda mi mierda solo para seguir jodiéndote'"".",0,es
1300173590554464256,This mayer is a complete vile idiot.,"Simpson later said she was ""floored and embarrassed"" after the interview was published.",0,en
