id_str,tweet,paragraph,label
1452662300465238019,jennifer lopez is horrible man,Their bodies are at the disposal of the producers who require it to be employed never mind their biological restrictions.,0
1452662300465238019,jennifer lopez is horrible man,"Me too is just the tip of the iceberg and it's only 0.01% and the truth is the 99.99% hidden part, which approximates to 100% rather than 0%.",0
1452662300465238019,jennifer lopez is horrible man,"Their multimillion dollar lifestyle is not fully paid up but on lease or on instalments, which will be forfeited the moment she asserts herself even out of pure necessity.",0
1452662300465238019,jennifer lopez is horrible man,"Even the hi-fi lifestyle is a prop to limelight the girls from the block or even from the asylum, as some heiresses, so the viewers can dream richly with her.",0
1452662300465238019,jennifer lopez is horrible man,"You know it's a dream factory and the merchants of dream are also merchants of deaths, most of them dons of organized mafia.",0
1452662300465238019,jennifer lopez is horrible man,"Hence the dream girls on the screen have leathery skin almost like corpses, protruding veins and bones from the hands like mummies that will reveal the amount of hardwork required from the photoshopping crew to process their images into anything like dreams.",0
1452662300465238019,jennifer lopez is horrible man,"In reality, the stars also eat like fratboys and do everything else the same way, burping etc etc.",0
1452662300465238019,jennifer lopez is horrible man,"They also have morning ghoulish faces, bad odour, dysentery and menstruation and PMS.",0
1452662300465238019,jennifer lopez is horrible man,"Leave alone looking at the stars, one producer is known to have prohibited viewers from the outdoor shooting itself to preserve the Maya of movies.",0
1452662300465238019,jennifer lopez is horrible man,"C'est La Vie, Life is like that, part of the show, occupational hazards!",0
1452662300465238019,jennifer lopez is horrible man,"Now imagine, if you are a star will you be fancying people looking at you.",0
1452662300465238019,jennifer lopez is horrible man,"Or when you are going to be shocked of the mummified housemaid looking dream stars, will you fancy looking at them too.",0
1452662300465238019,jennifer lopez is horrible man,Pics: Google,0
1452662300465238019,jennifer lopez is horrible man,"Never met her , don’t care .",0
1452662300465238019,jennifer lopez is horrible man,"If I ever see her in a Studio - I will try not to look,lol.",0
1452662300465238019,jennifer lopez is horrible man,I am in the Miami area and we have all kinds of women as pretty or moreso compared to Jennifer Lopez so IF the ‘don’t even look at her ‘ thing is really true it is very funny.,0
1452662300465238019,jennifer lopez is horrible man,Seriously - if you are at a mall for 1 hour you will see women as pretty as JLo or maybe a whole day as pretty as Jessica Alba.,0
1452662300465238019,jennifer lopez is horrible man,"Many of us have dated women this beautiful - AND when you hang out with them , you can look at them , haha.",0
1452662300465238019,jennifer lopez is horrible man,Anyway - I normally don’t care much about personal lives of stars or stars.,0
1452662300465238019,jennifer lopez is horrible man,If true though that is kind of funny .,0
